,album_id,artists_name,album_name,song_title,song_popularity,album_total_tracks,album_external_link,album_release_date
0,0nayxjaX54Frd7GsZq6Pbs,Rema,Rave & Roses Ultra,Calm Down (with Selena Gomez),73,22,https://open.spotify.com/album/0nayxjaX54Frd7GsZq6Pbs,2023-04-27
1,1pUJnA3OSbvVr5afqxNARZ,Fireboy DML,Playboy,Peru,67,14,https://open.spotify.com/album/1pUJnA3OSbvVr5afqxNARZ,2022-08-04
2,6bCs4XCCkm9cTwlswlu0VD,Wizkid,Made In Lagos: Deluxe Edition,Essence (feat. Justin Bieber & Tems),57,18,https://open.spotify.com/album/6bCs4XCCkm9cTwlswlu0VD,2021-08-27
3,6kgDkAupBVRSqbJPUaTJwQ,Burna Boy,"Love, Damini",Last Last,66,19,https://open.spotify.com/album/6kgDkAupBVRSqbJPUaTJwQ,2022-07-07
4,2BUR5pXplndserD49AzcvW,Alorman,Rahman Jago,Rahman Jago,45,1,https://open.spotify.com/album/2BUR5pXplndserD49AzcvW,2024-12-13
5,51r39Gm18d7yIS3PC1QD8B,Burna Boy,I Told Them...,City Boys,47,15,https://open.spotify.com/album/51r39Gm18d7yIS3PC1QD8B,2023-08-23
6,22sXXkKgjEuawIFL1e1tRw,Tyla,Water,Water,84,1,https://open.spotify.com/album/22sXXkKgjEuawIFL1e1tRw,2023-07-28
7,1ZyNY4zHrl8MMzZ5li2Pm2,Burna Boy,Tshwala Bam (feat. S.N.E),Tshwala Bam (feat. S.N.E),66,1,https://open.spotify.com/album/1ZyNY4zHrl8MMzZ5li2Pm2,2024-05-13
8,7pjNsxzij0oRzYy1xSSnzP,Travis Scott,Active,Active,64,1,https://open.spotify.com/album/7pjNsxzij0oRzYy1xSSnzP,2024-08-06
9,5ddIWQKK8ViScna6B0ARAl,Omah Lay,Moving,Moving,66,1,https://open.spotify.com/album/5ddIWQKK8ViScna6B0ARAl,2024-08-22
10,6KHkLjKP78GvnVaVJoc6DI,DJ Boat,Detty December,Detty December,42,1,https://open.spotify.com/album/6KHkLjKP78GvnVaVJoc6DI,2024-11-29
11,2sE6Gv7CIc5jUFffN3zsaS,Wizkid,Kese (Dance),Kese (Dance),70,1,https://open.spotify.com/album/2sE6Gv7CIc5jUFffN3zsaS,2024-11-15
12,23CGzFgPaTutCNL8eEhQ4z,King Paluta,I Don't Give A Fuck (IDGAF),I Don't Give A Fuck (IDGAF),38,1,https://open.spotify.com/album/23CGzFgPaTutCNL8eEhQ4z,2024-11-07
13,3ViLRtCLd9pxkZ2w25hFwK,Burna Boy,Bundle By Bundle,Bundle By Bundle,68,1,https://open.spotify.com/album/3ViLRtCLd9pxkZ2w25hFwK,2024-12-17
14,3dLXfyaG1kYeSQknLs2LP1,Wizkid,Morayo,Bad Girl (feat. Asake),73,16,https://open.spotify.com/album/3dLXfyaG1kYeSQknLs2LP1,2024-11-22
15,5xU7RFIfd0tCDXt3iu0NET,Chike,Funds (feat. ODUMODUBLVCK & Chike),Funds (feat. ODUMODUBLVCK & Chike),78,2,https://open.spotify.com/album/5xU7RFIfd0tCDXt3iu0NET,2024-12-13
16,6t9A9CaPsaknVT4WgCPuXL,YG Marley,Awuke,Awuke,76,1,https://open.spotify.com/album/6t9A9CaPsaknVT4WgCPuXL,2024-10-31
17,6fDuf1pTmoj8nNtD0Tu3xq,Fiokee,BABY OKU (feat. Fiokee),BABY OKU (feat. Fiokee),50,1,https://open.spotify.com/album/6fDuf1pTmoj8nNtD0Tu3xq,2024-12-06
18,5PKbz0NEwgnXL4Ljc054bV,Michael Meka,Do Me,Do Me,35,2,https://open.spotify.com/album/5PKbz0NEwgnXL4Ljc054bV,2024-11-29
19,3kS42vslfpYnxWkGN4JvlW,Asake,Lungu Boy,MMS,71,15,https://open.spotify.com/album/3kS42vslfpYnxWkGN4JvlW,2024-08-08
20,1FGGv0vvSTerGQ91Mkvf9p,Tems,Born in the Wild,Burning,67,18,https://open.spotify.com/album/1FGGv0vvSTerGQ91Mkvf9p,2024-06-06
21,5QsVRNOKVMCeVAIUoOQJ13,Tyla,TYLA +,PUSH 2 START,84,17,https://open.spotify.com/album/5QsVRNOKVMCeVAIUoOQJ13,2024-10-11
22,6omIVYOflvgbRXQrIIlAqj,Juma Mufasa,The Sandwich Tape,Gin B!tches,28,3,https://open.spotify.com/album/6omIVYOflvgbRXQrIIlAqj,2024-11-15
23,0rFlqvXsdlGdKXEqxWIKW5,Afrobeats Central,WYD / LOSING SLEEP,LOSING SLEEP,31,2,https://open.spotify.com/album/0rFlqvXsdlGdKXEqxWIKW5,2024-12-11
24,4ObxgZ2ybYIS2lagstdP3l,Runtown,Flow,Flow,57,1,https://open.spotify.com/album/4ObxgZ2ybYIS2lagstdP3l,2024-12-13
25,6CvEsGBD3JdbDKpmJaXn2E,Ayra Starr,Rush,Rush,68,1,https://open.spotify.com/album/6CvEsGBD3JdbDKpmJaXn2E,2022-09-16
26,2x0bThH7Cg7IqoHx7z56j2,DEMOLA,One in a Million,Ma Boo,32,12,https://open.spotify.com/album/2x0bThH7Cg7IqoHx7z56j2,2024-04-05
27,1uHFefg5BtaAM59kjH6ElC,BM Casso,You,You,41,1,https://open.spotify.com/album/1uHFefg5BtaAM59kjH6ElC,2024-11-15
29,5GOuRNmsCemyinkWd6OXrU,Finess,Illuminate,Illuminate,37,1,https://open.spotify.com/album/5GOuRNmsCemyinkWd6OXrU,2024-12-06
30,0N6D5nYseW1trtfnsgNan0,King Promise,Keep It Sexy,Keep It Sexy,51,1,https://open.spotify.com/album/0N6D5nYseW1trtfnsgNan0,2024-11-14
31,0DSh8NDgO88kBS1JbIIfGs,Two Tapp,Don't Play,Don't Play,38,1,https://open.spotify.com/album/0DSh8NDgO88kBS1JbIIfGs,2024-12-03
32,5jF4u2Au0Tbqifnr2qtzfH,Ko'rale,Involved,Involved,37,1,https://open.spotify.com/album/5jF4u2Au0Tbqifnr2qtzfH,2024-09-20
33,5pxCIpgpPvaLFVr5aRMrmN,Kansah,One Two Step,One Two Step,47,1,https://open.spotify.com/album/5pxCIpgpPvaLFVr5aRMrmN,2024-07-26
34,1W25XYjRQPob14CkgOYVms,Ayra Starr,The Year I Turned 21,Commas,71,15,https://open.spotify.com/album/1W25XYjRQPob14CkgOYVms,2024-05-30
